M,K,N,Command,Elapsed Time
100,100,100,blis,8216
200,200,200,blis,1216
300,300,300,blis,4155
400,400,400,blis,10048
500,500,500,blis,22967
600,600,600,blis,33162
700,700,700,blis,47620
800,800,800,blis,67246
900,900,900,blis,95377
1000,1000,1000,blis,130512
1100,1100,1100,blis,172034
1200,1200,1200,blis,217324
1300,1300,1300,blis,297920
1400,1400,1400,blis,342242
1500,1500,1500,blis,427210
1600,1600,1600,blis,508817
1700,1700,1700,blis,624472
1800,1800,1800,blis,718998
1900,1900,1900,blis,872836
2000,2000,2000,blis,998830
2100,2100,2100,blis,1158920
2200,2200,2200,blis,1325911
2300,2300,2300,blis,1494466
2400,2400,2400,blis,1673051
2500,2500,2500,blis,1924964
2600,2600,2600,blis,2131575
2700,2700,2700,blis,2397599
2800,2800,2800,blis,2657126
2900,2900,2900,blis,2976884
3000,3000,3000,blis,3280785
3100,3100,3100,blis,3671398
3200,3200,3200,blis,3979522
3300,3300,3300,blis,4328274
3400,3400,3400,blis,4766615
3500,3500,3500,blis,5170477
3600,3600,3600,blis,5612555
3700,3700,3700,blis,6095906
3800,3800,3800,blis,6611198
3900,3900,3900,blis,7144569
4000,4000,4000,blis,7812247
4100,4100,4100,blis,8772304
4200,4200,4200,blis,8979357
4300,4300,4300,blis,9556305
4400,4400,4400,blis,10236121
4500,4500,4500,blis,10918503
4600,4600,4600,blis,11710260
4700,4700,4700,blis,12484946
4800,4800,4800,blis,13274480
4900,4900,4900,blis,14098378
5000,5000,5000,blis,15014365
5100,5100,5100,blis,15876861
5200,5200,5200,blis,16807527
5300,5300,5300,blis,17802231
5400,5400,5400,blis,18819929
5500,5500,5500,blis,19879495
5600,5600,5600,blis,20871676
5700,5700,5700,blis,22037563
5800,5800,5800,blis,23187019
5900,5900,5900,blis,24451865
6000,6000,6000,blis,25555353
6100,6100,6100,blis,27283426
6200,6200,6200,blis,28476915
6300,6300,6300,blis,29945557
6400,6400,6400,blis,30881591
6500,6500,6500,blis,32774588
6600,6600,6600,blis,34078423
6700,6700,6700,blis,35695066
6800,6800,6800,blis,37283345
6900,6900,6900,blis,38769882
7000,7000,7000,blis,40595558
7100,7100,7100,blis,42221885
7200,7200,7200,blis,43973912
7300,7300,7300,blis,45738752
7400,7400,7400,blis,47788171
7500,7500,7500,blis,49819826
7600,7600,7600,blis,52090856
7700,7700,7700,blis,53953659
7800,7800,7800,blis,56017621
7900,7900,7900,blis,58268791
8000,8000,8000,blis,60597189
8100,8100,8100,blis,63332962
8200,8200,8200,blis,67414033
8300,8300,8300,blis,67916501
8400,8400,8400,blis,70060999
8500,8500,8500,blis,72759671
8600,8600,8600,blis,75213899
8700,8700,8700,blis,77687417
8800,8800,8800,blis,80246268
8900,8900,8900,blis,83146654
9000,9000,9000,blis,86254065
9100,9100,9100,blis,88682941
9200,9200,9200,blis,92329424
9300,9300,9300,blis,94868773
9400,9400,9400,blis,98041065
9500,9500,9500,blis,100905624
9600,9600,9600,blis,103709788
9700,9700,9700,blis,107611765
9800,9800,9800,blis,110402632
9900,9900,9900,blis,114693539
10000,10000,10000,blis,117142200
