M,K,N,Command,Elapsed Time
100,100,100,blis,212
100,100,100,para_blis,359
100,100,100,openblas,161
200,200,200,blis,1209
200,200,200,para_blis,746
200,200,200,openblas,596
300,300,300,blis,4218
300,300,300,para_blis,2034
300,300,300,openblas,1746
400,400,400,blis,9128
400,400,400,para_blis,4190
400,400,400,openblas,4598
500,500,500,blis,17787
500,500,500,para_blis,8478
500,500,500,openblas,8619
600,600,600,blis,28833
600,600,600,para_blis,12583
600,600,600,openblas,14969
700,700,700,blis,45190
700,700,700,para_blis,18935
700,700,700,openblas,23859
800,800,800,blis,66890
800,800,800,para_blis,27771
800,800,800,openblas,37760
900,900,900,blis,94027
900,900,900,para_blis,36887
900,900,900,openblas,52691
1000,1000,1000,blis,127871
1000,1000,1000,para_blis,54019
1000,1000,1000,openblas,69437
1100,1100,1100,blis,168765
1100,1100,1100,para_blis,65758
1100,1100,1100,openblas,100157
1200,1200,1200,blis,213463
1200,1200,1200,para_blis,81078
1200,1200,1200,openblas,118924
1300,1300,1300,blis,277053
1300,1300,1300,para_blis,107455
1300,1300,1300,openblas,159428
1400,1400,1400,blis,342350
1400,1400,1400,para_blis,129859
1400,1400,1400,openblas,176900
1500,1500,1500,blis,422131
1500,1500,1500,para_blis,162417
1500,1500,1500,openblas,217674
1600,1600,1600,blis,503088
1600,1600,1600,para_blis,201556
1600,1600,1600,openblas,268685
1700,1700,1700,blis,615418
1700,1700,1700,para_blis,226696
1700,1700,1700,openblas,314050
1800,1800,1800,blis,712834
1800,1800,1800,para_blis,258819
1800,1800,1800,openblas,381204
1900,1900,1900,blis,842614
1900,1900,1900,para_blis,302286
1900,1900,1900,openblas,441303
2000,2000,2000,blis,988281
2000,2000,2000,para_blis,371974
2000,2000,2000,openblas,568085
2100,2100,2100,blis,1147461
2100,2100,2100,para_blis,420610
2100,2100,2100,openblas,618707
2200,2200,2200,blis,1294624
2200,2200,2200,para_blis,476634
2200,2200,2200,openblas,699451
2300,2300,2300,blis,1485012
2300,2300,2300,para_blis,526965
2300,2300,2300,openblas,746079
2400,2400,2400,blis,1663744
2400,2400,2400,para_blis,565111
2400,2400,2400,openblas,851984
2500,2500,2500,blis,1893522
2500,2500,2500,para_blis,665216
2500,2500,2500,openblas,917788
2600,2600,2600,blis,2112092
2600,2600,2600,para_blis,740847
2600,2600,2600,openblas,1087826
2700,2700,2700,blis,2390254
2700,2700,2700,para_blis,834448
2700,2700,2700,openblas,1211367
2800,2800,2800,blis,2643138
2800,2800,2800,para_blis,938635
2800,2800,2800,openblas,1346285
2900,2900,2900,blis,2951917
2900,2900,2900,para_blis,1087895
2900,2900,2900,openblas,1425400
3000,3000,3000,blis,3244516
3000,3000,3000,para_blis,1144831
3000,3000,3000,openblas,1575336
3100,3100,3100,blis,3603922
3100,3100,3100,para_blis,1259622
3100,3100,3100,openblas,1801231
