M,K,N,Command,Elapsed Time
100,100,100,blis,8846
100,100,100,para_blis,402
100,100,100,atlas,286
100,100,100,pthread_blis,1444
200,200,200,blis,1298
200,200,200,para_blis,814
200,200,200,atlas,1637
200,200,200,pthread_blis,12375
300,300,300,blis,4074
300,300,300,para_blis,2051
300,300,300,atlas,5904
300,300,300,pthread_blis,39263
400,400,400,blis,9177
400,400,400,para_blis,4146
400,400,400,atlas,9125
400,400,400,pthread_blis,80142
500,500,500,blis,18117
500,500,500,para_blis,8427
500,500,500,atlas,18950
500,500,500,pthread_blis,156595
600,600,600,blis,28917
600,600,600,para_blis,12638
600,600,600,atlas,29933
600,600,600,pthread_blis,237272
700,700,700,blis,46015
700,700,700,para_blis,19015
700,700,700,atlas,53893
700,700,700,pthread_blis,350767
800,800,800,blis,66325
800,800,800,para_blis,27932
800,800,800,atlas,65707
800,800,800,pthread_blis,525898
900,900,900,blis,94106
900,900,900,para_blis,36963
900,900,900,atlas,98161
900,900,900,pthread_blis,692768
1000,1000,1000,blis,128088
1000,1000,1000,para_blis,53994
1000,1000,1000,atlas,127370
1000,1000,1000,pthread_blis,999961
1100,1100,1100,blis,168832
1100,1100,1100,para_blis,65931
1100,1100,1100,atlas,187569
1100,1100,1100,pthread_blis,1235577
1200,1200,1200,blis,212742
1200,1200,1200,para_blis,81314
1200,1200,1200,atlas,212759
1200,1200,1200,pthread_blis,1525831
1300,1300,1300,blis,276872
1300,1300,1300,para_blis,105191
1300,1300,1300,atlas,282057
1300,1300,1300,pthread_blis,2017909
1400,1400,1400,blis,340369
1400,1400,1400,para_blis,125404
1400,1400,1400,atlas,340511
1400,1400,1400,pthread_blis,2408839
1500,1500,1500,blis,422159
1500,1500,1500,para_blis,158654
1500,1500,1500,atlas,452123
1500,1500,1500,pthread_blis,2960005
1600,1600,1600,blis,503909
1600,1600,1600,para_blis,181738
1600,1600,1600,atlas,503657
1600,1600,1600,pthread_blis,3491660
1700,1700,1700,blis,616821
1700,1700,1700,para_blis,232234
1700,1700,1700,atlas,618950
1700,1700,1700,pthread_blis,4369161
1800,1800,1800,blis,712862
1800,1800,1800,para_blis,252961
1800,1800,1800,atlas,713048
1800,1800,1800,pthread_blis,4797927
1900,1900,1900,blis,847724
1900,1900,1900,para_blis,297667
1900,1900,1900,atlas,908648
1900,1900,1900,pthread_blis,5832406
2000,2000,2000,blis,988807
2000,2000,2000,para_blis,366478
2000,2000,2000,atlas,973263
2000,2000,2000,pthread_blis,7026868
2100,2100,2100,blis,1146082
2100,2100,2100,para_blis,417740
2100,2100,2100,atlas,1152694
2100,2100,2100,pthread_blis,8135174
2200,2200,2200,blis,1294698
2200,2200,2200,para_blis,474839
