M,K,N,Command,Elapsed Time
100,100,100,blis,223
100,100,100,two_blis,260
100,100,100,para_blis,402
200,200,200,blis,825
200,200,200,two_blis,805
200,200,200,para_blis,780
300,300,300,blis,2805
300,300,300,two_blis,2002
300,300,300,para_blis,1610
400,400,400,blis,6803
400,400,400,two_blis,4427
400,400,400,para_blis,3717
500,500,500,blis,11025
500,500,500,two_blis,7690
500,500,500,para_blis,6096
600,600,600,blis,17624
600,600,600,two_blis,11713
600,600,600,para_blis,9162
700,700,700,blis,28640
700,700,700,two_blis,18495
700,700,700,para_blis,15637
800,800,800,blis,39159
800,800,800,two_blis,25045
800,800,800,para_blis,21288
900,900,900,blis,53656
900,900,900,two_blis,33174
900,900,900,para_blis,27010
1000,1000,1000,blis,72278
1000,1000,1000,two_blis,44390
1000,1000,1000,para_blis,34967
1100,1100,1100,blis,96798
1100,1100,1100,two_blis,59033
1100,1100,1100,para_blis,47244
1200,1200,1200,blis,122244
1200,1200,1200,two_blis,74993
1200,1200,1200,para_blis,56976
1300,1300,1300,blis,154360
1300,1300,1300,two_blis,90598
1300,1300,1300,para_blis,70181
1400,1400,1400,blis,198558
1400,1400,1400,two_blis,119136
1400,1400,1400,para_blis,95812
1500,1500,1500,blis,232360
1500,1500,1500,two_blis,138827
1500,1500,1500,para_blis,111607
1600,1600,1600,blis,278422
1600,1600,1600,two_blis,161739
1600,1600,1600,para_blis,128536
1700,1700,1700,blis,341746
1700,1700,1700,two_blis,205399
1700,1700,1700,para_blis,161635
1800,1800,1800,blis,393831
1800,1800,1800,two_blis,229004
1800,1800,1800,para_blis,177872
1900,1900,1900,blis,462771
1900,1900,1900,two_blis,267377
1900,1900,1900,para_blis,201549
2000,2000,2000,blis,541280
2000,2000,2000,two_blis,312465
2000,2000,2000,para_blis,254052
2100,2100,2100,blis,636726
2100,2100,2100,two_blis,371775
2100,2100,2100,para_blis,326063
2200,2200,2200,blis,706931
2200,2200,2200,two_blis,410585
2200,2200,2200,para_blis,310880
2300,2300,2300,blis,798908
2300,2300,2300,two_blis,452217
2300,2300,2300,para_blis,343786
2400,2400,2400,blis,910085
2400,2400,2400,two_blis,532146
2400,2400,2400,para_blis,411122
2500,2500,2500,blis,1034156
2500,2500,2500,two_blis,584071
2500,2500,2500,para_blis,450641
2600,2600,2600,blis,1140110
2600,2600,2600,two_blis,641777
2600,2600,2600,para_blis,522447
2700,2700,2700,blis,1294813
2700,2700,2700,two_blis,752723
2700,2700,2700,para_blis,581305
2800,2800,2800,blis,1443835
2800,2800,2800,two_blis,832628
2800,2800,2800,para_blis,671384
2900,2900,2900,blis,1565043
2900,2900,2900,two_blis,874830
2900,2900,2900,para_blis,658032
3000,3000,3000,blis,1746223
3000,3000,3000,two_blis,987697
3000,3000,3000,para_blis,745982
3100,3100,3100,blis,1924440
3100,3100,3100,two_blis,1100239
3100,3100,3100,para_blis,873005
3200,3200,3200,blis,2140645
3200,3200,3200,two_blis,1207424
3200,3200,3200,para_blis,876219
3300,3300,3300,blis,2276560
3300,3300,3300,two_blis,1273540
3300,3300,3300,para_blis,976939
3400,3400,3400,blis,2556672
3400,3400,3400,two_blis,1443571
3400,3400,3400,para_blis,1137688
3500,3500,3500,blis,2761590
3500,3500,3500,two_blis,1553116
3500,3500,3500,para_blis,1271369
3600,3600,3600,blis,3047372
3600,3600,3600,two_blis,1716057
3600,3600,3600,para_blis,1380315
3700,3700,3700,blis,3317085
3700,3700,3700,two_blis,1873116
3700,3700,3700,para_blis,1476340
3800,3800,3800,blis,3574182
3800,3800,3800,two_blis,2055568
3800,3800,3800,para_blis,1674159
3900,3900,3900,blis,3833207
3900,3900,3900,two_blis,2165319
3900,3900,3900,para_blis,1713414
4000,4000,4000,blis,4204819
4000,4000,4000,two_blis,2426355
4000,4000,4000,para_blis,2081227
4100,4100,4100,blis,4867411
4100,4100,4100,two_blis,2859762
4100,4100,4100,para_blis,2280542
4200,4200,4200,blis,4852471
4200,4200,4200,two_blis,2767231
4200,4200,4200,para_blis,2204115
4300,4300,4300,blis,5097109
4300,4300,4300,two_blis,2825769
4300,4300,4300,para_blis,2263157
4400,4400,4400,blis,5526096
4400,4400,4400,two_blis,3147739
4400,4400,4400,para_blis,2451561
4500,4500,4500,blis,5776296
4500,4500,4500,two_blis,3233634
4500,4500,4500,para_blis,2512484
4600,4600,4600,blis,6229462
4600,4600,4600,two_blis,3523470
4600,4600,4600,para_blis,2795741
4700,4700,4700,blis,6521598
4700,4700,4700,two_blis,3645018
4700,4700,4700,para_blis,3009664
4800,4800,4800,blis,7063141
4800,4800,4800,two_blis,4009399
4800,4800,4800,para_blis,3277974
4900,4900,4900,blis,7423894
4900,4900,4900,two_blis,4082713
4900,4900,4900,para_blis,3567218
5000,5000,5000,blis,7960514
5000,5000,5000,two_blis,4474938
5000,5000,5000,para_blis,3372089
5100,5100,5100,blis,8356521
5100,5100,5100,two_blis,4692736
5100,5100,5100,para_blis,3620687
5200,5200,5200,blis,8958382
5200,5200,5200,two_blis,5025829
5200,5200,5200,para_blis,4167884
5300,5300,5300,blis,9289163
5300,5300,5300,two_blis,5090636
5300,5300,5300,para_blis,3812090
5400,5400,5400,blis,10112241
5400,5400,5400,two_blis,5626762
5400,5400,5400,para_blis,4766024
5500,5500,5500,blis,10450342
5500,5500,5500,two_blis,5830005
5500,5500,5500,para_blis,4447463
5600,5600,5600,blis,11030297
5600,5600,5600,two_blis,6067952
5600,5600,5600,para_blis,4487496
5700,5700,5700,blis,11653680
5700,5700,5700,two_blis,6327364
5700,5700,5700,para_blis,4813432
5800,5800,5800,blis,12277452
5800,5800,5800,two_blis,6783170
5800,5800,5800,para_blis,5648631
5900,5900,5900,blis,12855546
5900,5900,5900,two_blis,7133179
5900,5900,5900,para_blis,5634607
6000,6000,6000,blis,13629250
6000,6000,6000,two_blis,7436131
6000,6000,6000,para_blis,5335624
6100,6100,6100,blis,14588166
6100,6100,6100,two_blis,8067231
6100,6100,6100,para_blis,6887112
6200,6200,6200,blis,15049842
6200,6200,6200,two_blis,8347583
6200,6200,6200,para_blis,6390187
6300,6300,6300,blis,15770691
6300,6300,6300,two_blis,8604815
6300,6300,6300,para_blis,7186793
6400,6400,6400,blis,16427391
6400,6400,6400,two_blis,9121278
6400,6400,6400,para_blis,7651738
6500,6500,6500,blis,17308067
6500,6500,6500,two_blis,9427230
6500,6500,6500,para_blis,7621061
6600,6600,6600,blis,17915378
6600,6600,6600,two_blis,9784739
6600,6600,6600,para_blis,7588238
6700,6700,6700,blis,18828799
6700,6700,6700,two_blis,10281955
6700,6700,6700,para_blis,8371798
6800,6800,6800,blis,19764721
6800,6800,6800,two_blis,10997781
6800,6800,6800,para_blis,9576436
6900,6900,6900,blis,20356148
6900,6900,6900,two_blis,11144245
6900,6900,6900,para_blis,9063763
7000,7000,7000,blis,21621674
7000,7000,7000,two_blis,11945704
7000,7000,7000,para_blis,9843774
7100,7100,7100,blis,22390032
7100,7100,7100,two_blis,12127373
7100,7100,7100,para_blis,9558017
7200,7200,7200,blis,23624334
7200,7200,7200,two_blis,13101648
7200,7200,7200,para_blis,11279203
7300,7300,7300,blis,24227924
7300,7300,7300,two_blis,13041421
7300,7300,7300,para_blis,10015657
7400,7400,7400,blis,25708312
7400,7400,7400,two_blis,14423239
7400,7400,7400,para_blis,10883145
7500,7500,7500,blis,26356125
7500,7500,7500,two_blis,14293210
7500,7500,7500,para_blis,12123529
7600,7600,7600,blis,27771986
7600,7600,7600,two_blis,15255490
7600,7600,7600,para_blis,13308352
7700,7700,7700,blis,28286266
7700,7700,7700,two_blis,15469518
7700,7700,7700,para_blis,11825698
7800,7800,7800,blis,29961923
7800,7800,7800,two_blis,16517674
7800,7800,7800,para_blis,13813536
7900,7900,7900,blis,30991987
7900,7900,7900,two_blis,17050034
7900,7900,7900,para_blis,14074926
8000,8000,8000,blis,32530714
8000,8000,8000,two_blis,18053300
8000,8000,8000,para_blis,13281219
8100,8100,8100,blis,33523635
8100,8100,8100,two_blis,18742628
8100,8100,8100,para_blis,15672513
8200,8200,8200,blis,36889558
8200,8200,8200,two_blis,21020427
8200,8200,8200,para_blis,18704781
8300,8300,8300,blis,36057441
8300,8300,8300,two_blis,19665492
8300,8300,8300,para_blis,16424616
8400,8400,8400,blis,37544701
8400,8400,8400,two_blis,20665949
8400,8400,8400,para_blis,15404374
8500,8500,8500,blis,38434156
8500,8500,8500,two_blis,20835736
8500,8500,8500,para_blis,17543956
8600,8600,8600,blis,39937866
8600,8600,8600,two_blis,22139688
8600,8600,8600,para_blis,18875404
8700,8700,8700,blis,41054349
8700,8700,8700,two_blis,22221884
8700,8700,8700,para_blis,16782106
8800,8800,8800,blis,42771380
8800,8800,8800,two_blis,23702122
8800,8800,8800,para_blis,19730467
8900,8900,8900,blis,43432076
8900,8900,8900,two_blis,23754775
8900,8900,8900,para_blis,17637231
9000,9000,9000,blis,45967144
9000,9000,9000,two_blis,25010784
9000,9000,9000,para_blis,19607137
9100,9100,9100,blis,46511083
9100,9100,9100,two_blis,25311624
9100,9100,9100,para_blis,19305899
9200,9200,9200,blis,49466013
9200,9200,9200,two_blis,27327521
9200,9200,9200,para_blis,20221500
9300,9300,9300,blis,49724781
9300,9300,9300,two_blis,26582605
9300,9300,9300,para_blis,22410628
9400,9400,9400,blis,51709671
9400,9400,9400,two_blis,28479064
9400,9400,9400,para_blis,21317604
9500,9500,9500,blis,52887910
9500,9500,9500,two_blis,28768402
9500,9500,9500,para_blis,21883008
9600,9600,9600,blis,55390205
9600,9600,9600,two_blis,29890483
9600,9600,9600,para_blis,21753915
9700,9700,9700,blis,56320447
9700,9700,9700,two_blis,30610808
9700,9700,9700,para_blis,23369178
9800,9800,9800,blis,59182232
9800,9800,9800,two_blis,31782265
9800,9800,9800,para_blis,24678626
9900,9900,9900,blis,60008780
9900,9900,9900,two_blis,32720564
9900,9900,9900,para_blis,27342885
10000,10000,10000,blis,62420620
10000,10000,10000,two_blis,34076125
10000,10000,10000,para_blis,26585500
