M,K,N,Command,Elapsed Time
100,100,100,blis,203
100,100,100,two_blis,288
100,100,100,para_blis,397
200,200,200,blis,805
200,200,200,two_blis,729
200,200,200,para_blis,699
300,300,300,blis,2596
300,300,300,two_blis,1972
300,300,300,para_blis,1753
400,400,400,blis,6223
400,400,400,two_blis,4563
400,400,400,para_blis,3599
500,500,500,blis,11301
500,500,500,two_blis,7371
500,500,500,para_blis,6079
600,600,600,blis,17529
600,600,600,two_blis,11772
600,600,600,para_blis,9244
700,700,700,blis,28167
700,700,700,two_blis,18930
700,700,700,para_blis,15756
800,800,800,blis,39566
800,800,800,two_blis,25073
800,800,800,para_blis,21143
900,900,900,blis,54259
900,900,900,two_blis,33604
900,900,900,para_blis,27020
1000,1000,1000,blis,72364
1000,1000,1000,two_blis,45204
1000,1000,1000,para_blis,35424
1100,1100,1100,blis,95952
1100,1100,1100,two_blis,59807
1100,1100,1100,para_blis,47730
1200,1200,1200,blis,122802
1200,1200,1200,two_blis,76306
1200,1200,1200,para_blis,57326
1300,1300,1300,blis,154259
1300,1300,1300,two_blis,91559
1300,1300,1300,para_blis,70755
1400,1400,1400,blis,195515
1400,1400,1400,two_blis,119957
1400,1400,1400,para_blis,94560
1500,1500,1500,blis,233594
1500,1500,1500,two_blis,139926
1500,1500,1500,para_blis,112975
1600,1600,1600,blis,278277
1600,1600,1600,two_blis,163040
1600,1600,1600,para_blis,126947
1700,1700,1700,blis,339901
1700,1700,1700,two_blis,204910
1700,1700,1700,para_blis,161672
1800,1800,1800,blis,394241
1800,1800,1800,two_blis,231276
1800,1800,1800,para_blis,176436
1900,1900,1900,blis,466409
1900,1900,1900,two_blis,267379
1900,1900,1900,para_blis,203656
2000,2000,2000,blis,539041
2000,2000,2000,two_blis,311438
2000,2000,2000,para_blis,250554
2100,2100,2100,blis,641068
2100,2100,2100,two_blis,377310
2100,2100,2100,para_blis,314938
2200,2200,2200,blis,712853
2200,2200,2200,two_blis,404272
2200,2200,2200,para_blis,306880
2300,2300,2300,blis,798518
2300,2300,2300,two_blis,449775
2300,2300,2300,para_blis,339119
2400,2400,2400,blis,914991
2400,2400,2400,two_blis,531799
2400,2400,2400,para_blis,402344
2500,2500,2500,blis,1034161
2500,2500,2500,two_blis,588793
2500,2500,2500,para_blis,447941
2600,2600,2600,blis,1145287
2600,2600,2600,two_blis,644900
2600,2600,2600,para_blis,491809
2700,2700,2700,blis,1302443
2700,2700,2700,two_blis,754346
2700,2700,2700,para_blis,583538
2800,2800,2800,blis,1449558
2800,2800,2800,two_blis,828571
2800,2800,2800,para_blis,673964
2900,2900,2900,blis,1576206
2900,2900,2900,two_blis,875835
2900,2900,2900,para_blis,676593
3000,3000,3000,blis,1745769
3000,3000,3000,two_blis,982517
3000,3000,3000,para_blis,729771
3100,3100,3100,blis,1932496
3100,3100,3100,two_blis,1084767
3100,3100,3100,para_blis,914370
3200,3200,3200,blis,2133296
3200,3200,3200,two_blis,1187673
3200,3200,3200,para_blis,880767
3300,3300,3300,blis,2276356
3300,3300,3300,two_blis,1270112
3300,3300,3300,para_blis,941294
3400,3400,3400,blis,2543371
3400,3400,3400,two_blis,1449867
3400,3400,3400,para_blis,1107522
3500,3500,3500,blis,2786670
3500,3500,3500,two_blis,1562261
3500,3500,3500,para_blis,1340261
3600,3600,3600,blis,3024448
3600,3600,3600,two_blis,1725358
3600,3600,3600,para_blis,1320560
3700,3700,3700,blis,3334892
3700,3700,3700,two_blis,1875075
3700,3700,3700,para_blis,1583724
3800,3800,3800,blis,3597871
3800,3800,3800,two_blis,2061995
3800,3800,3800,para_blis,1533521
3900,3900,3900,blis,3835203
3900,3900,3900,two_blis,2130099
3900,3900,3900,para_blis,1788945
4000,4000,4000,blis,4226273
4000,4000,4000,two_blis,2390260
4000,4000,4000,para_blis,1916885
4100,4100,4100,blis,4873372
4100,4100,4100,two_blis,2846081
4100,4100,4100,para_blis,2266214
4200,4200,4200,blis,4835389
4200,4200,4200,two_blis,2792179
4200,4200,4200,para_blis,2218865
4300,4300,4300,blis,5086969
4300,4300,4300,two_blis,2831240
4300,4300,4300,para_blis,2202751
4400,4400,4400,blis,5503663
4400,4400,4400,two_blis,3167397
4400,4400,4400,para_blis,2393389
4500,4500,4500,blis,5817670
4500,4500,4500,two_blis,3279629
4500,4500,4500,para_blis,2495754
4600,4600,4600,blis,6229755
4600,4600,4600,two_blis,3522760
4600,4600,4600,para_blis,2569807
4700,4700,4700,blis,6593782
4700,4700,4700,two_blis,3600818
4700,4700,4700,para_blis,2995766
4800,4800,4800,blis,7121759
4800,4800,4800,two_blis,4003504
4800,4800,4800,para_blis,3097742
4900,4900,4900,blis,7389773
4900,4900,4900,two_blis,4107675
4900,4900,4900,para_blis,3119161
5000,5000,5000,blis,8012329
5000,5000,5000,two_blis,4471357
5000,5000,5000,para_blis,3339483
5100,5100,5100,blis,8349989
5100,5100,5100,two_blis,4650925
5100,5100,5100,para_blis,3669167
5200,5200,5200,blis,9013005
5200,5200,5200,two_blis,5041814
5200,5200,5200,para_blis,3744472
5300,5300,5300,blis,9331210
5300,5300,5300,two_blis,5121038
5300,5300,5300,para_blis,3884539
5400,5400,5400,blis,10040432
5400,5400,5400,two_blis,5664495
5400,5400,5400,para_blis,4401203
5500,5500,5500,blis,10454492
5500,5500,5500,two_blis,5848537
5500,5500,5500,para_blis,4832061
5600,5600,5600,blis,11062756
5600,5600,5600,two_blis,6075972
5600,5600,5600,para_blis,4860558
5700,5700,5700,blis,11561913
5700,5700,5700,two_blis,6384263
5700,5700,5700,para_blis,4709450
5800,5800,5800,blis,12236149
5800,5800,5800,two_blis,6818997
5800,5800,5800,para_blis,5543499
5900,5900,5900,blis,12824093
5900,5900,5900,two_blis,7123331
5900,5900,5900,para_blis,5350174
6000,6000,6000,blis,13519686
6000,6000,6000,two_blis,7434335
6000,6000,6000,para_blis,6002888
6100,6100,6100,blis,14489794
6100,6100,6100,two_blis,8018840
6100,6100,6100,para_blis,6352955
6200,6200,6200,blis,15267679
6200,6200,6200,two_blis,8308862
6200,6200,6200,para_blis,6261342
6300,6300,6300,blis,15749026
6300,6300,6300,two_blis,8621581
6300,6300,6300,para_blis,6506983
6400,6400,6400,blis,16415696
6400,6400,6400,two_blis,9040972
6400,6400,6400,para_blis,6621192
6500,6500,6500,blis,17126562
6500,6500,6500,two_blis,9396481
6500,6500,6500,para_blis,6948606
6600,6600,6600,blis,17932087
6600,6600,6600,two_blis,9904962
6600,6600,6600,para_blis,7314181
6700,6700,6700,blis,18763431
6700,6700,6700,two_blis,10231026
6700,6700,6700,para_blis,8615319
6800,6800,6800,blis,19728921
6800,6800,6800,two_blis,10771503
6800,6800,6800,para_blis,8581671
6900,6900,6900,blis,20517999
6900,6900,6900,two_blis,11172590
6900,6900,6900,para_blis,8347805
7000,7000,7000,blis,21646132
7000,7000,7000,two_blis,11911214
7000,7000,7000,para_blis,9711682
7100,7100,7100,blis,22262518
7100,7100,7100,two_blis,12193032
7100,7100,7100,para_blis,9676198
7200,7200,7200,blis,23783125
7200,7200,7200,two_blis,13309362
7200,7200,7200,para_blis,10230332
7300,7300,7300,blis,24070886
7300,7300,7300,two_blis,13106376
7300,7300,7300,para_blis,10099294
7400,7400,7400,blis,25756203
7400,7400,7400,two_blis,14423924
7400,7400,7400,para_blis,10882634
7500,7500,7500,blis,26376640
7500,7500,7500,two_blis,14395769
7500,7500,7500,para_blis,11573578
7600,7600,7600,blis,27932482
7600,7600,7600,two_blis,15274800
7600,7600,7600,para_blis,11130785
7700,7700,7700,blis,28549552
7700,7700,7700,two_blis,15443543
7700,7700,7700,para_blis,12765284
7800,7800,7800,blis,29943815
7800,7800,7800,two_blis,16592572
7800,7800,7800,para_blis,13069486
7900,7900,7900,blis,30791077
7900,7900,7900,two_blis,16827386
7900,7900,7900,para_blis,13182894
8000,8000,8000,blis,32233293
8000,8000,8000,two_blis,17982833
8000,8000,8000,para_blis,13394429
8100,8100,8100,blis,33830219
8100,8100,8100,two_blis,18837648
8100,8100,8100,para_blis,15645168
8200,8200,8200,blis,36864520
8200,8200,8200,two_blis,21167316
8200,8200,8200,para_blis,17913361
8300,8300,8300,blis,36276877
8300,8300,8300,two_blis,19812925
8300,8300,8300,para_blis,16386108
8400,8400,8400,blis,37163146
8400,8400,8400,two_blis,20893215
8400,8400,8400,para_blis,15180047
8500,8500,8500,blis,38162653
8500,8500,8500,two_blis,20952158
8500,8500,8500,para_blis,17596836
8600,8600,8600,blis,39987718
8600,8600,8600,two_blis,21959173
8600,8600,8600,para_blis,16597764
8700,8700,8700,blis,40690584
8700,8700,8700,two_blis,22197389
8700,8700,8700,para_blis,17142604
8800,8800,8800,blis,43163722
8800,8800,8800,two_blis,23662734
8800,8800,8800,para_blis,18592751
8900,8900,8900,blis,43331425
8900,8900,8900,two_blis,23534366
8900,8900,8900,para_blis,17798759
9000,9000,9000,blis,46198743
9000,9000,9000,two_blis,25008494
9000,9000,9000,para_blis,18948164
9100,9100,9100,blis,46531123
9100,9100,9100,two_blis,25496777
9100,9100,9100,para_blis,19141992
9200,9200,9200,blis,48985695
9200,9200,9200,two_blis,26907404
9200,9200,9200,para_blis,20439398
9300,9300,9300,blis,49358152
9300,9300,9300,two_blis,26556512
9300,9300,9300,para_blis,20284537
9400,9400,9400,blis,52172708
9400,9400,9400,two_blis,28602502
9400,9400,9400,para_blis,20869993
9500,9500,9500,blis,52882056
9500,9500,9500,two_blis,28409086
9500,9500,9500,para_blis,24350675
9600,9600,9600,blis,55582874
9600,9600,9600,two_blis,29722026
9600,9600,9600,para_blis,22553681
9700,9700,9700,blis,56205139
9700,9700,9700,two_blis,30701196
9700,9700,9700,para_blis,24259644
9800,9800,9800,blis,59017010
9800,9800,9800,two_blis,32280288
9800,9800,9800,para_blis,23404845
9900,9900,9900,blis,59901310
9900,9900,9900,two_blis,32601142
9900,9900,9900,para_blis,24279685
10000,10000,10000,blis,61966080
10000,10000,10000,two_blis,33777161
10000,10000,10000,para_blis,26300494
