M,K,N,Command,Elapsed Time
100,100,100,openblas,167
200,200,200,openblas,567
300,300,300,openblas,1792
400,400,400,openblas,4672
500,500,500,openblas,8569
600,600,600,openblas,15257
700,700,700,openblas,24126
800,800,800,openblas,37119
900,900,900,openblas,53621
1000,1000,1000,openblas,69708
1100,1100,1100,openblas,89439
1200,1200,1200,openblas,119457
1300,1300,1300,openblas,152574
1400,1400,1400,openblas,177059
1500,1500,1500,openblas,213233
1600,1600,1600,openblas,271538
1700,1700,1700,openblas,315840
1800,1800,1800,openblas,381838
1900,1900,1900,openblas,459604
2000,2000,2000,openblas,549476
2100,2100,2100,openblas,624511
2200,2200,2200,openblas,754130
2300,2300,2300,openblas,725585
2400,2400,2400,openblas,862287
2500,2500,2500,openblas,931724
2600,2600,2600,openblas,1114653
2700,2700,2700,openblas,1204692
2800,2800,2800,openblas,1300182
2900,2900,2900,openblas,1416307
3000,3000,3000,openblas,1588088
3100,3100,3100,openblas,1780275
3200,3200,3200,openblas,1884447
3300,3300,3300,openblas,2097502
3400,3400,3400,openblas,2455590
3500,3500,3500,openblas,2585810
3600,3600,3600,openblas,2755419
3700,3700,3700,openblas,2994231
3800,3800,3800,openblas,3095788
3900,3900,3900,openblas,3538719
4000,4000,4000,openblas,4302608
4100,4100,4100,openblas,4466746
4200,4200,4200,openblas,4551306
4300,4300,4300,openblas,4677621
4400,4400,4400,openblas,4970330
4500,4500,4500,openblas,5339234
4600,4600,4600,openblas,5559948
4700,4700,4700,openblas,6016313
4800,4800,4800,openblas,6767477
4900,4900,4900,openblas,6930410
5000,5000,5000,openblas,7024481
5100,5100,5100,openblas,7454212
5200,5200,5200,openblas,8306159
5300,5300,5300,openblas,8444998
5400,5400,5400,openblas,8855422
5500,5500,5500,openblas,9307497
5600,5600,5600,openblas,9801806
5700,5700,5700,openblas,10178732
5800,5800,5800,openblas,13222864
5900,5900,5900,openblas,11840708
6000,6000,6000,openblas,12754787
6100,6100,6100,openblas,13159433
6200,6200,6200,openblas,15295040
6300,6300,6300,openblas,14076313
6400,6400,6400,openblas,15669689
6500,6500,6500,openblas,15371493
6600,6600,6600,openblas,16028155
6700,6700,6700,openblas,19757500
6800,6800,6800,openblas,20313549
6900,6900,6900,openblas,19104064
7000,7000,7000,openblas,19718289
7100,7100,7100,openblas,20388491
7200,7200,7200,openblas,22538582
7300,7300,7300,openblas,22262505
7400,7400,7400,openblas,23216482
7500,7500,7500,openblas,23277554
7600,7600,7600,openblas,24747264
7700,7700,7700,openblas,26607486
7800,7800,7800,openblas,26857677
7900,7900,7900,openblas,27380678
8000,8000,8000,openblas,29399023
8100,8100,8100,openblas,31060935
8200,8200,8200,openblas,37225070
8300,8300,8300,openblas,31743036
8400,8400,8400,openblas,35783091
8500,8500,8500,openblas,34155103
8600,8600,8600,openblas,34210630
8700,8700,8700,openblas,35887390
8800,8800,8800,openblas,36659327
8900,8900,8900,openblas,45692219
9000,9000,9000,openblas,40516860
9100,9100,9100,openblas,47115047
9200,9200,9200,openblas,49407232
9300,9300,9300,openblas,44006021
9400,9400,9400,openblas,44423797
9500,9500,9500,openblas,51995947
9600,9600,9600,openblas,48768172
9700,9700,9700,openblas,49707479
9800,9800,9800,openblas,49929106
9900,9900,9900,openblas,54261194
10000,10000,10000,openblas,60653922
