M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
8,8,8,blis,280313,4113,5293,<not,0.000895857
8,8,32,blis,302567,4310,5360,<not,0.000872282
8,8,64,blis,331794,4264,5236,<not,0.001080820
8,8,100,blis,366177,4364,5216,<not,0.000984431
8,8,128,blis,390141,4641,5488,<not,0.000998097
8,8,150,blis,410928,4539,5288,<not,0.000985894
8,8,170,blis,429954,4684,5448,<not,0.000903579
8,8,200,blis,455741,4933,5456,<not,0.000926653
8,8,220,blis,475501,4707,5446,<not,0.000926486
8,8,256,blis,506705,4790,5298,<not,0.001023061
8,8,275,blis,525599,5180,5393,<not,0.000945727
8,8,300,blis,548369,5075,5506,<not,0.000948894
8,8,350,blis,593108,5261,5432,<not,0.001018727
8,8,400,blis,637913,5380,5490,<not,0.000931282
8,8,512,blis,739933,5652,5364,<not,0.000995653
8,32,8,blis,318278,4304,5294,<not,0.000897282
8,32,32,blis,396793,4665,5329,<not,0.000890782
8,32,64,blis,501506,5052,5535,<not,0.000908782
8,32,100,blis,623878,5419,5316,<not,0.001021338
8,32,128,blis,710953,5747,5435,<not,0.001077690
8,32,150,blis,784664,6069,5600,<not,0.001018357
8,32,170,blis,852701,6633,5525,<not,0.001050561
8,32,200,blis,946516,6894,5590,<not,0.001052801
8,32,220,blis,1016523,7110,5609,<not,0.001077061
8,32,256,blis,1129770,7426,5558,<not,0.001241080
8,32,275,blis,1196434,7849,5698,<not,0.001178542
8,32,300,blis,1278308,8116,5729,<not,0.001179783
8,32,350,blis,1439051,8504,5895,<not,0.001208210
8,32,400,blis,1600944,9090,5872,<not,0.001260821
8,32,512,blis,1967327,10309,5869,<not,0.001403988
8,64,8,blis,368481,4421,5289,<not,0.000917893
8,64,32,blis,522456,5055,5389,<not,0.000940746
8,64,64,blis,727622,5786,5547,<not,0.000984264
8,64,100,blis,967369,6788,5482,<not,0.001067487
8,64,128,blis,1138504,7283,5483,<not,0.001289303
8,64,150,blis,1282833,7908,5834,<not,0.001166710
8,64,170,blis,1416171,8244,5884,<not,0.001327044
8,64,200,blis,1600730,8765,5947,<not,0.001305618
8,64,220,blis,1737747,9289,5801,<not,0.001308710
8,64,256,blis,1960265,10144,6035,<not,0.001440285
8,64,275,blis,2090557,10350,6050,<not,0.001759138
8,64,300,blis,2251383,10951,5999,<not,0.001513933
8,64,350,blis,2566803,11862,6336,<not,0.001690323
8,64,400,blis,2884743,12974,6609,<not,0.001753175
8,64,512,blis,3603705,15291,6975,<not,0.002120973
8,100,8,blis,424795,4573,5376,<not,0.000918171
8,100,32,blis,663747,5382,5359,<not,0.001000357
8,100,64,blis,982279,6586,5569,<not,0.001141469
8,100,100,blis,1354046,7481,5996,<not,0.001209413
8,100,128,blis,1619798,8140,5827,<not,0.001306599
8,100,150,blis,1843926,9117,6137,<not,0.001383840
8,100,170,blis,2050427,9467,6086,<not,0.001487322
8,100,200,blis,2337067,10212,6032,<not,0.001573193
8,100,220,blis,2549399,10711,6392,<not,0.001609211
8,100,256,blis,2894867,11686,6645,<not,0.001718026
8,100,275,blis,3096825,12355,6601,<not,0.001776953
8,100,300,blis,3346296,13063,6770,<not,0.001853731
8,100,350,blis,3835798,14386,7271,<not,0.002028584
8,100,400,blis,4329263,15622,8014,<not,0.002276993
8,100,512,blis,5444891,18668,8675,<not,0.002620661
8,128,8,blis,468617,4797,5527,<not,0.000899856
8,128,32,blis,773697,5941,5593,<not,0.001035560
8,128,64,blis,1180356,7098,5751,<not,0.001233414
8,128,100,blis,1654794,8410,5895,<not,0.001286321
8,128,128,blis,1994181,9373,6043,<not,0.001439137
