M,K,N,Command,Elapsed Time
100,100,100,blis,231
100,100,100,para_blis,373
100,100,100,atlas,281
100,100,100,pthread_blis,1273
200,200,200,blis,1283
200,200,200,para_blis,759
200,200,200,atlas,1611
200,200,200,pthread_blis,12544
300,300,300,blis,4035
300,300,300,para_blis,2064
300,300,300,atlas,5840
300,300,300,pthread_blis,38833
400,400,400,blis,9157
400,400,400,para_blis,4208
400,400,400,atlas,9111
400,400,400,pthread_blis,81860
500,500,500,blis,17824
500,500,500,para_blis,8328
500,500,500,atlas,19056
500,500,500,pthread_blis,152975
600,600,600,blis,29030
600,600,600,para_blis,12569
600,600,600,atlas,30526
600,600,600,pthread_blis,254614
700,700,700,blis,45369
700,700,700,para_blis,19051
700,700,700,atlas,53693
700,700,700,pthread_blis,345892
800,800,800,blis,66993
800,800,800,para_blis,27871
800,800,800,atlas,64667
800,800,800,pthread_blis,528756
900,900,900,blis,94068
900,900,900,para_blis,40636
900,900,900,atlas,96862
900,900,900,pthread_blis,695168
1000,1000,1000,blis,127287
1000,1000,1000,para_blis,53079
1000,1000,1000,atlas,127754
1000,1000,1000,pthread_blis,989582
1100,1100,1100,blis,168911
1100,1100,1100,para_blis,66299
1100,1100,1100,atlas,187468
1100,1100,1100,pthread_blis,1227545
1200,1200,1200,blis,213142
1200,1200,1200,para_blis,80692
1200,1200,1200,atlas,213447
1200,1200,1200,pthread_blis,1521777
1300,1300,1300,blis,278660
1300,1300,1300,para_blis,105407
1300,1300,1300,atlas,282515
1300,1300,1300,pthread_blis,1998904
1400,1400,1400,blis,341342
1400,1400,1400,para_blis,126237
1400,1400,1400,atlas,340344
1400,1400,1400,pthread_blis,2437884
1500,1500,1500,blis,423750
1500,1500,1500,para_blis,158916
1500,1500,1500,atlas,451800
1500,1500,1500,pthread_blis,2960681
1600,1600,1600,blis,503316
1600,1600,1600,para_blis,185479
1600,1600,1600,atlas,502074
1600,1600,1600,pthread_blis,3445798
1700,1700,1700,blis,618490
1700,1700,1700,para_blis,232903
1700,1700,1700,atlas,618349
1700,1700,1700,pthread_blis,4301319
1800,1800,1800,blis,712386
1800,1800,1800,para_blis,257904
1800,1800,1800,atlas,722426
1800,1800,1800,pthread_blis,4756445
1900,1900,1900,blis,842759
1900,1900,1900,para_blis,299206
1900,1900,1900,atlas,896958
1900,1900,1900,pthread_blis,5683216
2000,2000,2000,blis,998399
2000,2000,2000,para_blis,370224
2000,2000,2000,atlas,974179
2000,2000,2000,pthread_blis,6937709
2100,2100,2100,blis,1150113
2100,2100,2100,para_blis,420259
2100,2100,2100,atlas,1154696
2100,2100,2100,pthread_blis,7922485
2200,2200,2200,blis,1297748
2200,2200,2200,para_blis,469509
2200,2200,2200,atlas,1293564
2200,2200,2200,pthread_blis,8803739
2300,2300,2300,blis,1490160
2300,2300,2300,para_blis,524811
2300,2300,2300,atlas,1557609
2300,2300,2300,pthread_blis,9811911
2400,2400,2400,blis,1659313
2400,2400,2400,para_blis,562985
2400,2400,2400,atlas,1683764
2400,2400,2400,pthread_blis,11074930
2500,2500,2500,blis,1895037
2500,2500,2500,para_blis,684374
2500,2500,2500,atlas,1930129
2500,2500,2500,pthread_blis,12399398
2600,2600,2600,blis,2111769
2600,2600,2600,para_blis,721529
2600,2600,2600,atlas,2128760
2600,2600,2600,pthread_blis,13609647
2700,2700,2700,blis,2380672
2700,2700,2700,para_blis,851924
2700,2700,2700,atlas,2498872
2700,2700,2700,pthread_blis,15563482
2800,2800,2800,blis,2639943
2800,2800,2800,para_blis,937042
2800,2800,2800,atlas,2688748
2800,2800,2800,pthread_blis,17405164
2900,2900,2900,blis,2958552
2900,2900,2900,para_blis,1040330
2900,2900,2900,atlas,3006710
2900,2900,2900,pthread_blis,19590736
3000,3000,3000,blis,3241581
3000,3000,3000,para_blis,1145508
3000,3000,3000,atlas,3257621
3000,3000,3000,pthread_blis,21441908
3100,3100,3100,blis,3600342
3100,3100,3100,para_blis,1262681
3100,3100,3100,atlas,3776508
3100,3100,3100,pthread_blis,23715352
3200,3200,3200,blis,3951105
3200,3200,3200,para_blis,1449096
3200,3200,3200,atlas,3930792
3200,3200,3200,pthread_blis,27584401
3300,3300,3300,blis,4306836
3300,3300,3300,para_blis,1516144
3300,3300,3300,atlas,4383670
3300,3300,3300,pthread_blis,27721165
3400,3400,3400,blis,4723468
3400,3400,3400,para_blis,1725198
3400,3400,3400,atlas,4714516
3400,3400,3400,pthread_blis,31878039
3500,3500,3500,blis,5126059
3500,3500,3500,para_blis,1815924
3500,3500,3500,atlas,5410467
3500,3500,3500,pthread_blis,33476366
3600,3600,3600,blis,5555894
3600,3600,3600,para_blis,1992860
3600,3600,3600,atlas,5576762
3600,3600,3600,pthread_blis,37336548
3700,3700,3700,blis,6055489
3700,3700,3700,para_blis,2182301
3700,3700,3700,atlas,6149426
3700,3700,3700,pthread_blis,39767899
3800,3800,3800,blis,6553250
3800,3800,3800,para_blis,2345084
3800,3800,3800,atlas,6559167
3800,3800,3800,pthread_blis,43748654
3900,3900,3900,blis,7088243
3900,3900,3900,para_blis,2566915
3900,3900,3900,atlas,7339122
3900,3900,3900,pthread_blis,47738321
4000,4000,4000,blis,7707716
4000,4000,4000,para_blis,2829596
4000,4000,4000,atlas,7687754
4000,4000,4000,pthread_blis,52560209
4100,4100,4100,blis,8742074
4100,4100,4100,para_blis,3243305
4100,4100,4100,atlas,8490906
4100,4100,4100,pthread_blis,61179987
4200,4200,4200,blis,8906028
4200,4200,4200,para_blis,3290913
4200,4200,4200,atlas,8898278
4200,4200,4200,pthread_blis,60282019
4300,4300,4300,blis,9455082
4300,4300,4300,para_blis,3286508
4300,4300,4300,atlas,9815590
4300,4300,4300,pthread_blis,62288081
4400,4400,4400,blis,10186877
4400,4400,4400,para_blis,3627730
4400,4400,4400,atlas,10170176
4400,4400,4400,pthread_blis,66596535
4500,4500,4500,blis,10887581
4500,4500,4500,para_blis,3798189
4500,4500,4500,atlas,11042475
4500,4500,4500,pthread_blis,70410273
4600,4600,4600,blis,11600321
4600,4600,4600,para_blis,4365382
4600,4600,4600,atlas,11644862
4600,4600,4600,pthread_blis,76107885
4700,4700,4700,blis,12402741
4700,4700,4700,para_blis,4322140
4700,4700,4700,atlas,12759350
4700,4700,4700,pthread_blis,78373835
4800,4800,4800,blis,13111280
4800,4800,4800,para_blis,4529305
4800,4800,4800,atlas,13167495
4800,4800,4800,pthread_blis,85502363
4900,4900,4900,blis,13951734
4900,4900,4900,para_blis,4901500
4900,4900,4900,atlas,14331492
4900,4900,4900,pthread_blis,89148174
5000,5000,5000,blis,14806939
5000,5000,5000,para_blis,5098739
5000,5000,5000,atlas,15078144
5000,5000,5000,pthread_blis,95719504
5100,5100,5100,blis,15735459
5100,5100,5100,para_blis,5589609
5100,5100,5100,atlas,16352792
5100,5100,5100,pthread_blis,102818145
5200,5200,5200,blis,16678274
5200,5200,5200,para_blis,5940353
5200,5200,5200,atlas,16930967
5200,5200,5200,pthread_blis,107690791
5300,5300,5300,blis,17740956
5300,5300,5300,para_blis,6118692
5300,5300,5300,atlas,17834699
5300,5300,5300,pthread_blis,109638971
5400,5400,5400,blis,18649293
5400,5400,5400,para_blis,6426367
5400,5400,5400,atlas,18717843
5400,5400,5400,pthread_blis,121643134
5500,5500,5500,blis,19695378
5500,5500,5500,para_blis,6791623
5500,5500,5500,atlas,20587163
5500,5500,5500,pthread_blis,117207281
5600,5600,5600,blis,20799728
5600,5600,5600,para_blis,7237946
5600,5600,5600,atlas,21187556
5600,5600,5600,pthread_blis,124400887
5700,5700,5700,blis,21942950
5700,5700,5700,para_blis,7364416
5700,5700,5700,atlas,22508107
5700,5700,5700,pthread_blis,128269452
5800,5800,5800,blis,22996689
5800,5800,5800,para_blis,7889093
5800,5800,5800,atlas,23511178
5800,5800,5800,pthread_blis,133753408
5900,5900,5900,blis,24304685
5900,5900,5900,para_blis,8823051
5900,5900,5900,atlas,24993277
5900,5900,5900,pthread_blis,139406297
6000,6000,6000,blis,25498063
6000,6000,6000,para_blis,8570768
6000,6000,6000,atlas,25727458
