M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,32,32,blis,490778,5078,5459,<not,0.000943326
32,32,32,pool_blis,2737663,64049,67420,4049,0.003513066
32,32,32,pthread_blis,2811668,16679,20972,<not,0.002160664
32,32,32,para_blis,7548995,22252,17626,<not,0.002297097
32,32,64,blis,617121,5308,5755,<not,0.000979086
32,32,64,pool_blis,3859602,94549,95830,3479,0.004562804
32,32,64,pthread_blis,3821029,20062,22423,<not,0.002426307
32,32,64,para_blis,10518589,30674,23331,<not,0.002982705
32,32,100,blis,767069,5974,5563,<not,0.001073609
32,32,100,pool_blis,5167761,124991,123640,5075,0.005892573
32,32,100,pthread_blis,5016058,24276,23394,2575,0.002886681
32,32,100,para_blis,12264190,35961,24233,15152,0.004036721
32,32,128,blis,869753,6154,5521,<not,0.001002216
32,32,128,pool_blis,6091884,152477,150326,6914,0.007181637
32,32,128,pthread_blis,5835129,26981,24520,5958,0.003158992
32,32,128,para_blis,15838768,40246,25256,37866,0.004604415
32,32,150,blis,960492,6450,5694,<not,0.001165780
32,32,150,pool_blis,6905707,178177,173240,3850,0.007909894
32,32,150,pthread_blis,6557969,29687,24537,0,0.003123581
32,32,150,para_blis,10708448,22379,12067,10319,0.004240897
32,32,170,blis,1044213,6840,5785,<not,0.001083054
32,32,170,pool_blis,7622281,191964,184482,5145,0.008466755
32,32,170,pthread_blis,7225981,32080,25764,733,0.003547343
32,32,170,para_blis,11341661,22434,12150,7328,0.004428961
32,32,200,blis,1153944,7287,5781,<not,0.001133668
32,32,200,pool_blis,8595011,218707,210001,5262,0.009721871
32,32,200,pthread_blis,8101043,35502,26531,9351,0.003821541
32,32,200,para_blis,12700914,21653,11025,6444,0.004774477
32,32,220,blis,1240711,7622,5837,<not,0.001192818
32,32,220,pool_blis,9366960,237328,228473,5738,0.010487223
32,32,220,pthread_blis,8791363,37776,26127,5750,0.004203634
32,32,220,para_blis,13586832,22533,10961,4311,0.005511995
32,32,256,blis,1374515,8075,5826,<not,0.001341067
32,32,256,pool_blis,10545605,267589,255161,7510,0.011730783
32,32,256,pthread_blis,9862171,41705,27404,316,0.004467239
32,32,256,para_blis,15413874,24709,11037,2849,0.006128618
32,32,275,blis,1457139,8223,6071,<not,0.001219208
32,32,275,pool_blis,11252658,279428,264683,6337,0.012169136
32,32,275,pthread_blis,10525929,43648,26819,792,0.004578689
32,32,275,para_blis,16699508,26130,11061,5415,0.006187657
32,32,300,blis,1554598,8467,5975,<not,0.001308786
32,32,300,pool_blis,11344256,305643,288632,10047,0.013521832
32,32,300,pthread_blis,11306700,46348,28681,1496,0.005028544
32,32,300,para_blis,17170105,26894,10637,3061,0.006831151
32,32,350,blis,1746444,9119,6115,<not,0.001477387
32,32,350,pool_blis,12910514,342103,321319,10479,0.014928380
32,32,350,pthread_blis,12847747,50655,29401,688,0.005325872
32,32,350,para_blis,19504427,30676,11171,5770,0.007275357
