Matrix Size,Tile Size,Command,Instructions,Cache Misses,Elapsed Time
4,4,4,atlas,115825,1748,0.004619821
4,4,8,atlas,117378,1851,0.004013095
4,4,32,atlas,126514,1818,0.004278097
4,4,64,atlas,138869,1882,0.000707893
4,4,128,atlas,163281,1900,0.004474950
4,4,256,atlas,212113,1881,0.004501098
4,4,512,atlas,309758,2067,0.004192948
4,4,1024,atlas,505082,2407,0.004763951
4,4,2048,atlas,903951,2797,0.004872785
4,4,4096,atlas,1685216,3946,0.005664363
4,8,4,atlas,118861,1815,0.004366542
4,8,8,atlas,121928,1843,0.004973174
4,8,32,atlas,140216,1916,0.004239855
4,8,64,atlas,164671,1829,0.004434487
4,8,128,atlas,213369,1917,0.004489654
4,8,256,atlas,310758,2113,0.004260189
4,8,512,atlas,505593,2422,0.000773467
4,8,1024,atlas,903416,2913,0.005353751
4,8,2048,atlas,1688032,3948,0.005606826
4,8,4096,atlas,3265689,5912,0.007099130
4,32,4,atlas,137076,1837,0.004463986
4,32,8,atlas,149276,1935,0.004285819
4,32,32,atlas,222172,2054,0.004851323
4,32,64,atlas,319493,2062,0.004277060
4,32,128,atlas,513915,2412,0.004457468
4,32,256,atlas,910955,2958,0.005151638
4,32,512,atlas,1697079,3974,0.005681178
4,32,1024,atlas,3268655,5852,0.006662072
4,32,2048,atlas,6412206,9806,0.008526731
4,32,4096,atlas,12699302,17664,0.013167940
4,64,4,atlas,161477,1976,0.000698466
4,64,8,atlas,185777,1881,0.000698485
4,64,32,atlas,331539,2166,0.004485098
4,64,64,atlas,526008,2477,0.000760690
4,64,128,atlas,922933,2968,0.000882282
4,64,256,atlas,1708546,3870,0.005859235
4,64,512,atlas,3279846,5905,0.006720833
4,64,1024,atlas,6422370,9797,0.007825264
4,64,2048,atlas,12707402,17573,0.008252562
4,64,4096,atlas,25277517,33121,0.021601170
4,128,4,atlas,210049,1910,0.004471672
4,128,8,atlas,258635,2037,0.004332449
4,128,32,atlas,550125,2390,0.004391986
4,128,64,atlas,947093,3019,0.004987230
4,128,128,atlas,1732591,3890,0.005692642
4,128,256,atlas,3303620,5751,0.006755351
4,128,512,atlas,6445632,9789,0.008306119
4,128,1024,atlas,12729660,17586,0.012232398
4,128,2048,atlas,25297711,33259,0.016552626
4,128,4096,atlas,50433803,64623,0.032612415
4,256,4,atlas,307193,2098,0.004830600
4,256,8,atlas,404359,2163,0.004741618
4,256,32,atlas,995496,3021,0.000984246
4,256,64,atlas,1781041,3901,0.003121869
4,256,128,atlas,3351932,5902,0.006574627
4,256,256,atlas,6493688,9999,0.008335692
4,256,512,atlas,12777204,17583,0.010610279
4,256,1024,atlas,25344209,33147,0.021704171
4,256,2048,atlas,50478279,64571,0.033164381
4,256,4096,atlas,100746371,127269,0.051240088
4,512,4,atlas,501497,2211,0.004932526
4,512,8,atlas,695807,2545,0.004489098
4,512,32,atlas,1878065,4148,0.001197710
4,512,64,atlas,3448962,6145,0.001700139
4,512,128,atlas,6590584,9926,0.008460100
4,512,256,atlas,12873821,17889,0.007323261
4,512,512,atlas,25440337,33503,0.013862925
4,512,1024,atlas,50573365,65029,0.031302167
4,512,2048,atlas,100839427,128260,0.051091976
4,512,4096,atlas,201363369,253418,0.084024263
4,1024,4,atlas,890108,2897,0.004497006
4,1024,8,atlas,1286906,3411,0.000999395
4,1024,32,atlas,3643117,6306,0.006858574
4,1024,64,atlas,6784754,10359,0.002718329
4,1024,128,atlas,13067884,18085,0.008436711
4,1024,256,atlas,25634136,33567,0.019410566
4,1024,512,atlas,50766652,65366,0.022172063
4,1024,1024,atlas,101031676,128028,0.043779381
4,1024,2048,atlas,201561719,253903,0.077943027
4,1024,4096,atlas,402613638,505609,0.150411839
4,2048,4,atlas,1683695,4013,0.005489751
4,2048,8,atlas,2469130,4821,0.006531072
4,2048,32,atlas,7181416,10791,0.003211146
4,2048,64,atlas,13464557,18488,0.013242015
4,2048,128,atlas,26030687,34179,0.021022538
4,2048,256,atlas,51162939,65120,0.035152446
4,2048,512,atlas,101427451,128201,0.043440417
4,2048,1024,atlas,201956452,254160,0.084545191
4,2048,2048,atlas,403014537,512050,0.145460386
4,2048,4096,atlas,805122429,1009733,0.283734807
4,4096,4,atlas,3254484,5859,0.006548072
4,4096,8,atlas,4825258,7850,0.007215668
4,4096,32,atlas,14249792,19564,0.013775407
4,4096,64,atlas,26815914,35166,0.021453207
4,4096,128,atlas,51948055,66407,0.035819469
4,4096,256,atlas,102212311,129618,0.046597285
4,4096,512,atlas,202740979,255816,0.086838648
4,4096,1024,atlas,403797119,507188,0.147898899
4,4096,2048,atlas,805909110,1011037,0.274599166
4,4096,4096,atlas,1610131769,2018343,0.543473284
8,4,4,atlas,117378,1786,0.004383579
8,4,8,atlas,118908,1876,0.000675596
8,4,32,atlas,128149,1895,0.004423264
8,4,64,atlas,140511,1863,0.004365579
8,4,128,atlas,165057,1883,0.000698596
8,4,256,atlas,214122,1981,0.000722300
