M,K,N,Command,Elapsed Time
100,100,100,blis,256
100,100,100,para_blis,360
100,100,100,atlas,294
100,100,100,pthread_blis,1217
200,200,200,blis,1267
200,200,200,para_blis,788
200,200,200,atlas,1621
200,200,200,pthread_blis,12202
300,300,300,blis,4124
300,300,300,para_blis,2088
300,300,300,atlas,5896
300,300,300,pthread_blis,39300
400,400,400,blis,9107
400,400,400,para_blis,4226
400,400,400,atlas,9155
400,400,400,pthread_blis,81043
500,500,500,blis,18034
500,500,500,para_blis,8355
500,500,500,atlas,19318
500,500,500,pthread_blis,156450
600,600,600,blis,29093
600,600,600,para_blis,12607
600,600,600,atlas,29949
600,600,600,pthread_blis,233807
700,700,700,blis,45789
700,700,700,para_blis,18919
700,700,700,atlas,53894
700,700,700,pthread_blis,350626
800,800,800,blis,66538
800,800,800,para_blis,27840
800,800,800,atlas,64767
800,800,800,pthread_blis,527448
900,900,900,blis,93584
900,900,900,para_blis,40376
900,900,900,atlas,96784
900,900,900,pthread_blis,665313
1000,1000,1000,blis,127689
1000,1000,1000,para_blis,53192
1000,1000,1000,atlas,127612
1000,1000,1000,pthread_blis,983055
